번호(Q_no),문제유형(Q_form),질문(Q_string),보기()E_string,보기()E_string,보기()E_string,보기()E_string,정답(A_ans),정답 이형태(A_synonym),정답 근거(AP_sent),위키피디아 제목(AP_title),정답 출처(AP_origin),
47,객관식,동일한 조건에서 백열전구를 더욱 밝게 만들 수 있는 필라멘트 재료는 무엇일까?,금,알루미늄,구리,텅스텐,텅스텐,중석,"전구에 쓰일 필라멘트의 재료를 찾기 위해 수많은 실험을 하였으며, 현재는 필라멘트로 텅스텐이 사용되고 있다.
텅스텐(문화어: 탕그스텐←스웨덴어: tungsten 퉁스텐) 또는 볼프람(문화어: 월프람←독일어: Wolfram), 중석(重石)은 화학 원소로 기호는 W(←라틴어: wolframium 볼프라미움), 원자 번호는 텅스텐이라는 말은 스웨덴어로 '무거운 돌'을 의미하기때문에 위와 같은 한자어(重石)를 쓴다. 
순수한 텅스텐은 전기·전자 분야에 쓰이지만 주로 화합물이나 합금으로 널리 쓰인다. 전구의 필라멘트가 가장 대표적이다.","백열등,
텅스텐",한국어 위키피디아,
48,객관식,상공업 계층의 지지를 받아 유럽으로 확산된 칼뱅파 신교도를 프랑스에서는 무엇이라고 불렀을까?,고이센,청교도,위그노,장로파,위그노,,"어머니 마사는 프랑스의 칼뱅파 신교도인 위그노 신자였으며, 스코틀랜드인과 프랑스인, 아일랜드인의 피가 섞인 혼혈인 여성으로 조지아 주 출신이었다.",시어도어 루스벨트,한국어 위키피디아,
49,객관식,"이 행성에는 2개의 위성이 있으며 마리너 6호 바이킹 1, 2 호 등 많은 우주선들이 탐사에 나선 곳이다. 에베레스트 산의 약 3배 높이라고 알려진 올림푸스 화산이 있는 이 행성은 무엇일까?",화성,토성,해왕성,목성,화성,,"화성에는 태양계에서 가장 높은 산인 올림푸스 화산이 있으며, 역시 태양계에서 가장 큰 계곡인 매리너스 협곡과 극관을 가지고 있다. 
화성은 두 개의 작은 위성을 가지고 있다.
NASA는 계속해서 매리너 계획을 수행했다. 그들은 다음 발사 시간대에 근접 비행 시험을 또다시 수행하였다. 이 비행선들은 1969년에 화성에 도달하였다. 이에 관해서는 매리너 6호 와 7호를 참조하라.
1976년에 두 대의 바이킹 호가 화성 궤도에 들어가 각각 착륙 모듈을 내려 화성 표면에 내려 앉았다.",화성,한국어 위키피디아,
50,객관식,육지 사이에 끼어있고 좁고 긴 바다를 해협이라고 한다. 유라시아 대륙 동단의 시베리아와 북아메리카 대륙 서단의 알래스카 사이에 있으며 이곳을 탐험한 러시아 탐험가의 이름에서 유래한 이 해협의 이름은 무엇일까?,베링 해협,지브롤터 해협,쿡 해협,말라카 해협,베링 해협,베링해협,"베링 해협(-海峽; Bering Strait, 문화어: 베링그 해협)은 아시아 쪽의 데즈네프 곶과 북아메리카 쪽의 프린스오브웨일스 곶 사이의 해협이다. 폭은 85 km, 깊이는 30-50 m 가량 된다. 북쪽으로는 북극해의 일부인 축치 해, 남쪽으로는 태평양의 일부인 베링 해와 연결된다. 덴마크 출신의 러시아 탐험가 비투스 베링을 따라 이름붙여졌다.",베링 해협,한국어 위키피디아,
51,객관식,"'불란서'는 프랑스를, '이태리'는 이탈리아를 한자음으로 표기한 것이다. 그렇다면 '아라사'는 어느 나라일까?",네덜란드,몽골,이라크,러시아,러시아,,아라사(我羅斯) - 러시아,음역어,한국어 위키피디아,
52,객관식,"이것은 우리나라 고유의 관악기로 '호적 또는 새납'이라고도 불리며 나팔 모양이다. 종묘제례악, 대취타, 농악 등에서 폭넓게 사용하는 이 악기는 무엇일까?",장구,태평소,대금,세피리,태평소,"새납, 쇄나, 쇄납, 날라리, 랄라리","태평소(太平簫) 또는 새납은 고려 말 서남아시아에서 유래한 한국 전통 관악기로, 호적(胡笛), 쇄납, 쇄나, 날라리,랄라리 등으로도 불린다.",태평소,한국어 위키피디아,
53,객관식,이곳은 아일랜드 인 '조지 루이스 쇼'가 운영하던 회사의 대리점으로 대한민국 임시 정부의 교통국을 설치해 독립투사의 임시 거처로 활용했다. 우리나라의 독립운동에 중요한 역할을 한 이곳은 어디일까?,태극서관,자기회사,백산상회,이륭양행,이륭양행,,"대한민국 임시정부에서 연통제를 실시하게 되자 일본 영사관 경찰의 권한이 미치지 못하는 이륭양행 건물의 2층에 임시정부 단둥 교통국의 연락사무소를 설치하도록 도왔으며, 이륭양행에서 경영하는 무역선을 이용하여 독립운동에 필요한 무기 운반, 군자금 전달, 독립운동가의 출입국, 한국 국내와 임시정부와의 연락 등 중요한 창구역할을 했으나, 1920년 7월에 내란죄로 일본 경찰에 체포되어 옥고를 치렸다.
이륭양행(怡隆洋行)은 아일랜드계 영국인 조지 루이스 쇼가 1919년 5월 중국 단둥에 설립한 무역선박회사로 비밀리에 대한민국 임시정부 교통국의 역할을 수행하였다.
이륭양행에서는 독립운동가의 망명, 독립자금 모집, 무기 반입, 연통제 운영 등의 역할을 감당하였으며, 백범 김구도 삼일운동 직후에 단둥에 도착하여 이륭양행의 배인 계림호를 타고 상해로 망명하였다. ","조지 쇼 (1880년),
이륭양행",한국어 위키피디아,
54,객관식,"""(이곳) 바라보며 이제를 한하노라 주려 죽을 진들 채미도 하난 것가 비록 푸새에 것인들 그 뉘의 땅에 났던가"" 성삼문의 시조에 등장하는 이곳은 중국 주나라의 '백이'와 '숙제'가 인의를 저버린 군주를 거부하고 절개를 지키고자 거처했던 산 이름이다. 이 산은 어디일까?",수리산,수양산,수락산,수미산,수양산,,"백이와 숙제는 상나라가 망한 뒤에도 상나라에 대한 충성을 버릴 수 없으며, 고죽군 영주로 받는 녹봉 역시 받을 수 없다며 수양산으로 들어가 고사리를 캐먹었다.",백이와 숙제,한국어 위키피디아,
55,객관식,"이 국립공원은 미국의 와이오밍, 몬태나 아이다호 주에 걸쳐져 있으며 300여 개 이상의 간헐천이 있다. 유네스코 세계 유산으로 등재된 이 국립공원은 어디일까?",아카디아,레드우드,메사버드,옐로스톤,옐로스톤,,"옐로스톤 국립공원(Yellowstone National Park)은 미국 와이오밍 주 북서부, 몬태나 주 남부와 아이다호 주 동부에 걸쳐 있는 미국 최대,최고의 국립공원이며 대략 89만 9000ha의 거대한 공원이다. 
뜨거운 지하수를 하늘 높이 내뿜는 많은 수의 간헐천을 비롯한 여러 가지 종류의 온천들이 1만여개나 있으며 그 가운데 올드페이스풀 간헐천이 가장 유명하다.",옐로스톤 국립공원,한국어 위키피디아,
56,객관식,세계 각국에서 달을 연구하기 위해 발사한 탐사선이 아닌 것은 무엇일까?,천드라얀 1호,창어 3호,카시니-하위헌스,라디,카시니-하위헌스,,"LADEE 
찬드라얀 1호 
창어 1호 
창어 2호 
창어 3호
카시니-하위헌스(Cassini-Huygens)는 미국과 유럽의 공동 토성 탐사선이다. ","분류:달 탐사선,
카시니-하위헌스",한국어 위키피디아,
57,객관식,이것은 1989년에 미국에서 발사한 목성 탐사선이다. 목성의 위성을 가장 먼저 발견한 사람의 이름을 딴 이 탐사선은 무엇일까?,파이오니어호,율리시스호,보이저호,갈릴레오호,갈릴레오 호,갈릴레오호,"갈릴레오 호(Galileo)는 미국 항공우주국의 목성 탐사선이다. 르네상스 시대의 과학자 갈릴레오 갈릴레이의 이름을 땄다.
1989년 10월 18일 아틀란티스 우주왕복선의 STS-34 비행에서 발사되어, 1995년 12월 7일 목성에 도착했다.",갈릴레오 (우주선),한국어 위키피디아,
58,객관식,"이것은 세종 때 장영실, 이천 등이 왕명을 받아 만든 것으로 물의 흐름에 따라 스스로 소리를 내어 시간을 알리도록 만들어진 것이다. 이것은 무엇일까?",혼천의,자격루,측우기,앙부일구,자격루,,"자격루(自擊漏)는 조선 세종 때의 물시계로, 자동으로 시간마다 종이 울리도록 한 국가 표준시계이다. 장영실과 김조 등이 2년 간 제작하여 세종 16년(1434년) 8월 5일(음력 7월 1일) 완성·발표하였다.",자격루,한국어 위키피디아,
59,객관식,이것은 예로부터 눈의 건강을 돕는다고 해서 마시던 차의 일종이다. '눈을 밝게 해 준다'는 뜻을 가진 이 차는 무엇일까?,결명자,오미자,복분자,구기자,결명자,,결명자의 한자 뜻인 '눈을 밝게 틔우는 씨앗'이라는 이름대로 결명자는 눈을 맑고 총명하게 해주는 작용을 한다.,결명자차,한국어 위키피디아,
60,객관식,학생들의 건강을 위해 유해음식의 판매를 금지하는 '그린 푸드 존'은 학교 주변 얼마까지의 거리일까?,30m,100m,150m,200m,200m,,그린푸드존(Green Food Zone) 또는 어린이 식품안전보호구역(食品安全保護區域)은 안전하고 위생적인 식품판매 환경의 조성으로 어린이를 보호하기 위하여 시장ㆍ군수 또는 구청장이 학교와 해당 학교의 경계선으로부터 직선거리 200미터의 범위 안에 지정하여 관리하는 구역이다.,어린이 식품안전보호구역,한국어 위키피디아,
61,객관식,"얼마 전에 열린 이 국제영화제는 올해로 67회를 맞았는데, 영화제 최고상은 영화제가 열리는 도시에 많이 자라는 종려나무의 잎사귀를 본떠 디자인해 '황금종려상'이라고 부른다. 이 영화제는 무엇일까?",베를린 영화제,모스크바 영화제,칸 영화제,베니스 영화제,칸영화제,칸 영화제,황금종려상(프랑스어: Palme d'Or 팔름도르)은 칸 영화제에서 경쟁 부문 초정작 가운데 최고 작품의 감독에게 주어지는 칸 영화제 최고상이다.,황금종려상,한국어 위키피디아,
62,객관식,계절에 따라 동물의 몸 크기나 색깔 등이 달라지는 것과 관계 깊은 환경 요인은 무엇일까?,바람,물,온도,토양,온도,,"계절 변이란, 계절에 따라 생물의 크기나 형태, 몸의 색깔 등이 바뀌는 현상으로, 계절형이라고도 한다. 계절 변이는 주변의 환경과 해가 내리쬐는 시간, 온도가 계절에 따라 주기적으로 변하기 때문에 나타난다.",계절 변이,한국어 위키피디아,
63,객관식,임진왜란 때 우리나라 각지에서는 의병들이 일어나 자기 고장의 익숙한 지형을 이용해 왜군에게 큰 타격을 입혔는데 의병장이 아닌 사람은 누구일까?,곽재우,김천일,고경명,김시민,김시민,,"고경명 
곽재우
김천일",분류:임진왜란 의병장,한국어 위키피디아,
64,객관식,"이것은 송과선에서 생성, 분비하는 호르몬으로 생식에 있어서 이것의 농도가 높을 때는 발달을 억제하고 낮을 때는 촉진하는 작용을 한다. 불면증 치료에 이용하기도 하는 이 호르몬은 무엇일까?",코르티솔,멜라토닌,세로토닌,인슐린,멜라토닌,,"멜라토닌(melatonin)은 짐승, 식물, 곰팡이, 박테리아에서 볼 수 있는 물질의 하나로, N-아세틸-5-메톡시 트립타민 화학식을 지닌다. 짐승에게는 송과선에서 생성, 분비되며 광주기를 예측하는 호르몬이다.
사람의 경우, 인체의 생체 리듬을 조절하고, 생식선 자극 호르몬의 분비를 억제한다.
불면증을 위한 약으로 사용되지만. 멜라토닌은 미국과 캐나다에서 일반의약품으로 판매된다. ",멜라토닌,한국어 위키피디아,
65,객관식,‘칠석’이라 불리는 음력 7월 7일은 견우성과 직녀성이 만나는 날인데 직녀성을 포함하고 있는 별자리는 무엇일까?,처녀자리,독수리자리,거문고자리,물병자리,거문고자리,,"직녀성(織女星)은 북반구의 별자리인 거문고자리에서 가장 밝은 별로서 거문고자리 알파별, 베가(Vega)라고도 한다.",여름철의 별자리,한국어 위키피디아,
66,객관식,매년 6월 17일은 국제연합이 정한 '이것을 방지하는 날'이다. 우리나라 역시 이것으로 인해 피해를 받고 있는 나라 중 하나로 이 문제를 해결하기 위해 산림녹화 사업 등으로 피해국을 지원하고 있다. 이것은 무엇일까?,사막화,산성비,오존층파괴,온난화,사막화,,세계 사막화 방지의 날,6월 17일,한국어 위키피디아,
67,객관식,우주로 발사해 설치한 우주 망원경은 지상에서 관측하기 어려운 것들을 관측할 수 있다. 인간이 볼 수 없는 X선을 보며 우주를 관찰하는 우주 망원경은 무엇일까?,허블 망원경,스피처 망원경,플랑크 망원경,찬드라 망원경,찬드라,찬드라 망원경,"지구 대기권은 우주에서 오는 엑스선을 대부분 흡수해버리므로, 지상의 망원경으로는 관측하기 어렵다. 따라서, 궤도권에서 직접 엑스선을 관측하기 위해 찬드라 관측선이 설계되었다.",찬드라 엑스선 관측선,한국어 위키피디아,
68,객관식,공무도하가의 배경 설화에 의하면 물에 빠진 남편을 보고 눈물을 흘리며 슬퍼하던 아내가 이 악기에 맞춰 노래를 불렀다고 한다. 이 악기의 이름은 무엇인가?,비파,거문고,공후,해금,공후,,"그리고 그 뒤에는 그 늙은 광부(狂夫)의 아내가 쫓아오면서 남편을 부르며 말렸으나 그 늙은이는 깊은 물속으로 휩쓸려 들어가 기어코 물에 빠져 죽고 말았다. 이때 그 아내는 들고 오던 공후를 끌어 잡아 타면서 '공무도하'의 노래를 지어 불렀다.
결국 그는 물에 빠져 죽었다. 이에 그의 아내는 공후를 뜯으며 슬프게 노래를 부르고는 자신도 물에 빠져 죽었다.",공무도하가,한국어 위키피디아,
69,객관식,지구 대기권은 수직적인 온도 분포에 따라 4개의 권역으로 나뉜다. 고도 약 10~50km 사이로 오존층을 포함하고 있는 이 구간은 무엇일까?,대류권,성층권,중간권,열권,성층권,,"우리 대기내의 오존의 약 90%가 성층권에 들어 있다. 오존 농도는 지표로부터 15~40km 부근에 최대인데 그곳에서 오존의 농도는 2~8ppm이다.
성층권은 지표에서 10km에서 50km 사이에 위치하며, 9?12km 고도를 유지하는 민항기들이 다니는 길이기도 하다. 
또한 성층권의 25km 부근에는 오존층(O3)의 밀도가 가장 높다. ","오존층,
성층권",한국어 위키피디아,
70,객관식,이것은 조선왕조시기에 중추부의 정삼품 당상관을 이르던 말이었다가 나중에 와서는 나이 많은 남자를 낮잡아 이르는 말로 쓰였다. 소설 운수좋은 날의 남자 주인공에게 쓰였던 이 호칭은 무엇일까?,생원,선달,첨지,샌님,첨지,,동소문 안에서 인력거꾼으로 살아가는 김 첨지가 주인공이다.,운수 좋은 날,한국어 위키피디아,
71,객관식,미국의 대통령이 직접 발표한 선언이 아닌 것은 무엇일까?,먼로선언,닉슨 독트린,트루먼 독트린,애치슨선언,애치슨 선언,애치슨선언,"애치슨 라인 선언(Acheson line declaration, 애치슨 선언)은 1950년 1월 12일에 발표된, 미국의 국무장관이었던 딘 애치슨에 의해 발표된 선언이다. ",애치슨 선언,한국어 위키피디아,
72,객관식,지구의 원시상태와 유사한 환경 조건을 갖추고 있는 것으로 알려진 토성의 위성은 무엇일까?,이오,타이탄,포보스,에우로파,타이탄,티탄,"타이탄 또는 티탄(Titan)은 토성의 위성이다. 토성의 위성 중에서 가장 큰 천체로, 태양계 내에서는 목성의 가니메데에 이어 두 번째로 크다. 
대기 구성이 원시지구와 유사하여 다양한 관심을 받고 있다.",타이탄 (위성),한국어 위키피디아,
73,객관식,"길고 추운 겨울때문에 얼음 도시라고 불리는 이곳은 매년 1, 2월경에 열리는 대규모 빙설제로도 유명하다. 헤이룽장 성에 있는 이 도시는 어디일까?",하얼빈,베이징,칭다오,광저우,하얼빈,,하얼빈 국제빙설제(哈?????雪?)는 1985년부터 시작되어 하얼빈에서 매년 1월 5일경부터 2월말까지 개최되는 빙설제이다.,하얼빈 국제빙설제,한국어 위키피디아,
74,객관식,세금은 크게 국세와 지방세로 나눌 수 있는데 지방세에 해당하는 것은 무엇일까?,소득세,주민세,법인세,부가가치세,주민세,,"취득세, 레저세, 담배소비세, 지방소비세, 주민세, 지방소득세, 자동차세",지방세,한국어 위키피디아,
75,객관식,동물 뼈나 가죽에서 추출한 천연 접착제를 가리키는 이것은 무엇일까?,분채,호분,석채,아교,아교,아교풀,"아교(중국어: 阿?, 광둥어: 阿膠)는 두가지가 있는데, 동물의 가죽이나 뼈를 원료로 하여 짐승에서 얻은 것을 동물아교, 어류에서 얻은 것을 부레풀이라고 한다.",아교,한국어 위키피디아,
76,객관식,남아메리카의 안데스 산맥 일대에서 번영했던 문명은 무엇일까?,마야문명,잉카문명,아즈텍문명,메소포타미아문명,잉카 문명,잉카문명,"안데스 문명 (Andean civilizations)은 지금의 콜롬비아 고지대에서 아타카마 사막에 이르는 지역에서 발달한 다양한 문화들이다. 티아우아나코 등의 도시국가가 존재했으며, 잉카 제국이 가장 큰 정치체제였다.",안데스 문명,한국어 위키피디아,
77,객관식,모기가 옮기는 질병이 아닌 것은 무엇일까?,말라리아,일본뇌염,뎅기열,장티푸스,장티푸스,,"장티푸스(腸-,typhoid fever)는 살모넬라 균의 일종인 Salmonella enterica serovar Typhi에 의한 급성 전신 감염 질환이다.",장티푸스,한국어 위키피디아,
78,객관식,"국제 조약이나 협약에 의해 무장을 금지한 지역을 비무장 지대라고 하는데, 한국의 비무장 지대는 군사분계선으로부터 남, 북으로 각각 몇 km로 지정했을까?",1km,2km,3km,4km,2km,,"군사분계선에서부터 남북으로 각각 2 km 범위에는 군사충돌을 방지하기 위한 완충지대인 비무장지대(DMZ)가 설정되어 있다.
비무장지대는 군사분계선에서부터 남북으로 각각 2 km 범위에 군사충돌을 방지하기 위한 완충지대로 설정되어 있다.","한반도 군사 분계선,
한반도 비무장 지대",한국어 위키피디아,
79,객관식,용비어천가에서 조선을 세운 해동육룡에 해당하지 않는 왕은 누구일까?,정종,목조,태종,익조,정종,,내용은 목조·익조·도조·환조·태조·태종 등 조선의 선대인 6대에 걸쳐 그 사적을 노래했다. ,용비어천가,한국어 위키피디아,
80,객관식,필립K.딕은 20세기를 대표하는 SF작가중 한명으로 그의 작품은 영화로 많이 만들어 졌다. 필립K.딕의 작품이 원작이 아닌 것은 무엇일까?,블레이드 러너,토탈 리콜,마이너리티 리포트,스타쉽트루퍼스,스타쉽트루퍼스,,"딕의 직접적인 영향을 받고 제작된 영화로는 《매트릭스》(1999)와 《이퀄리브리엄(2002)》이 유명하며, 장편《안드로이드는 전기양의 꿈을 꾸는가?》(1968)를 리들리 스콧이 영화화한《블레이드 러너》(1982)와 단편 《도매가로 기억을 팝니다, We Can Remember It for You Wholesale》를 폴 버호벤이 영화화한 《토탈 리콜》(1990)은 딕의 이름을 일반대중에게 널리 알리는 계기가 되었다. 영화 《마이너리티 리포트》(2002), 《임포스터》(2002), 《페이첵》(2003), 《넥스트》(2007),《컨트롤러》(2011)도 그의 단편들을 바탕으로 한 것이다.",필립 K. 딕,한국어 위키피디아,
81,객관식,태양의 표면인 광구에서 관측할 수 있는 현상으로 에너지의 대류 운동에 의한 것은 무엇일까?,흑점,홍염,쌀알무늬,코로나,쌀알무늬,쌀알 조직,"뜨거운 기체가 광구까지 대류하면 그것은 광자를 우주공간으로 방출하고 냉각되며 다시 별 속으로 정착한다. 이 대류의 흐름은 태양의 쌀알 조직의 근원이며 나가는 에너지는 별이 우주공간에 방출하는 가시광선과 다른 전자기 복사이다.
태양의 광구는 쌀알 조직 또는 입상반(粒狀斑)으로 불리는 대류 조직으로 구성되어 있으며, 이는 중앙에서는 뜨거운 가스가 상승하고, 조직 사이의 좁은 공간에서는 식은 가스가 하강하는 직경 1,000 킬로미터 정도의 불기둥이다. 
쌀알 조직은 태양 내부에서 발생한 열로 광구 아래 있는 대류층(對流層)이 가열되어 뜨거운 가스가 대류에 의해서 광구로 떠올라 왔다가는 식어서 가라앉아 내려가는 것을 보여주고 있다.
쌀알무늬(Granule) or 알조직(Granulation)은 태양 대류층 내에서 플라스마의 대류 흐름에 의해 발생한다. 대류 세포 상부의 모습은 마치 광구가 쌀알 같이 보이게 한다고 하여, 쌀알무늬라고 부른다.","대류층,
광구,
쌀알무늬",한국어 위키피디아,
82,객관식,태권도의 품새가 아닌 것은 무엇일까?,고려,금강,백두,태백,백두,,"지정된 시간 1분-2분 이내에 정해진 2가지 품새(고려, 금강, 태백, 비각, 한류 등 조직위에서 정한 것)",품새,한국어 위키피디아,
83,객관식,우리나라의 표준시로 사용하는 기준 경선은 동경 몇 도일까?,123도,125도,132도,135도,135도,,"한국 표준시(韓國標準時, KST, Korea Standard Time)는 대한민국의 표준시로 UTC보다 9시간 빠른 동경 135도를 기준으로 하고 있다.",한국 표준시,한국어 위키피디아,
84,객관식,유네스코에서 지정한 우리나라의 인류무형문화유산에 해당하지 않는 것은 무엇일까?,김장문화,강강술래,줄타기,씨름,씨름,,"김장 (2013년 지정)
강강술래 (2009년 지정
줄타기 (2011년 지정)",무형문화유산 목록,한국어 위키피디아,
85,객관식,안국선의 금수회의록에는 겉치레만 요란하고 줏대없는 인간을 무장공자라고 하는데 이 동물은 무엇일까?,거북이,게,새우,달팽이,게,,무장공자란 속이 없는 자라는 뜻으로 인간의 가벼움을 뜻한다.,금수회의록,한국어 위키피디아,
86,객관식,이것은 고조선부터 고려 말까지 우리 역사를 독자적인 정통론을 세워 체계화한 역사책이다. 다른 역사서에서는 잘 다루지 않던 주변국에 대해 상세하게 기록했으며 안정복이 저술해 정조시기에 완성한 이 책은 무엇일까?,한국통사,발해고,동사강목,연려실기술,동사강목,,"《동사강목》(東史綱目)은, 조선의 학자 안정복(安鼎福)이 저술한 강목체(綱目體) · 편년체(編年體) 역사서이다.
1) 통계 - 통계는 역사의 정통론을 정립하는 것을 말한다. 
1774년 무렵에 《동사강목》의 열람을 요청하는 세손의 명을 받들어 안정복은 예전 완성해두었던 《동사강목》의 초고를 꺼내 마무리 작업을 시작하여 정조(正祖) 2년(1778년) 책의 서문(序文)을 지음으로서 책이 완성된다. ",동사강목,한국어 위키피디아,
87,객관식,아프리카 서부 기니만 연안의 한 국가인 코트디부아르는 한때 이 자원의 산출이 많았기 때문에 붙여진 이름이다. 이것은 무엇일까,진주,상아,곡물,소금,상아,,국명은 프랑스어로 '상아 해안'이라는 뜻이다. 이 이름은 15세기 후반부터 이 지역의 해안에서 주로 상아를 산출한 데서 유래한다.,코트디부아르,한국어 위키피디아,
88,객관식,이것은 전통적으로 기능 화성을 탈피해 각 나라의 민족적 전통을 기초로 만든 음악이다. 강렬하고 격렬한 리듬과 음색을 사용하며 대표적인 작곡가로는 스트라빈스키가 있는데 이것은 무엇일까?,표현주의 음악,인상주의 음악,원시주의 음악,음렬주의 음악,원시주의,원시주의 음악,19세기 말의 극도의 문화적 난숙이 이루어진 가운데 굴절이 심하고 복잡한 정신생활에 대한 권태에서 원시의 생명에 동경하여 사람들은 단순한 리듬과 루오나 고갱의 그림에서 볼 수 있는 원색적인 음향에 신선감을 느꼈다. 또한 원시주의는 19세기의 민족주의 음악이 지녔던 에그조티즘의 발전이기도 했다. 원시주의의 정점에 선 스트라빈스키의 몇몇 발레곡은 후기 낭만파풍의 대편성 관현악을 쓰면서 드뷔시의 인상주의적 화성법을 계기로 전통적 기능화성을 떠나 민요나 민족무용이 지니는 원시적 에너지를 발산시키고 있다.,원시주의,한국어 위키피디아,
89,객관식,이것은 각종 지리 정보를 수치화해 저장하고 사용자의 요구에 따라 다양한 방법으로 종합해 제공하는 정보 처리 시스템이다. 이것은 무엇일까?,GMO,GDP,GMT,GIS,GIS,"지아이에스, Geographic Information System,","지리 정보 체계(地理情報體系, 영어: geographic information system, GIS)는 지리공간적으로 참조가능한 모든 형태의 정보를 효과적으로 수집, 저장, 갱신, 조정, 분석, 표현할 수 있도록 설계된 컴퓨터의 하드웨어와 소프트웨어 및 지리적 자료, 인적자원의 통합체이다.",지리 정보 체계,한국어 위키피디아,
90,객관식,"향가는 향찰로 기록한 신라 시기에 가장 성행한 노래인데, 서동요 모죽지랑가 제망매가 등의 향가 14수가 들어있는 이 책은 무엇인가?",삼국사기,삼국유사,균여전,삼대목,삼국유사,,특히 단군 신화를 비롯하여 이두(吏讀)로 쓰인 향가(鄕歌) 14수가 기록되어 있어 국어 국문학 연구에 좋은 자료가 된다.,삼국유사,한국어 위키피디아,
91,객관식,이것은 파리의 한 오페라 극장을 배경으로 일그러진 얼굴을 가면으로 가린 괴신사가 천상의 목소리를 지닌 아름다운 프리마돈나를 짝사랑 한다는 내용을 담고 있다. 이 뮤지컬은 무엇일까?,맘마미아,오페라의 유령,미스 사이공,레미제라블,오페라의 유령,,"이 뮤지컬은 파리 오페라를 공포에 떨게 한 정체 불명의 추악한 얼굴을 한 괴신사 오페라의 유령에게 사로잡히게 되는 아름다운 가수, 크리스틴 다예를 중심으로 하고 있다. ",오페라의 유령 (뮤지컬),한국어 위키피디아,
92,객관식,고려와 조선 왕조 시기에는 불법적인 상행위를 근절하고 물가를 안정시키기 위해 관청을 설치했다. 시전과 관영 상점의 상행위를 감독하고 상품매매를 통제한 이 관청은 무엇일까?,동시전,광학보,장례원,경시서,경시서,평시서,"평시서(平市署)는 조선시대 도량형(度量衡)과 시장, 유통, 물가를 조절하는 등 시세의 조절을 맡던 관청이다. 처음에는 경시서(京市署)라고 불리다가 1466년 평시서로 바뀌었다.",평시서,한국어 위키피디아,
