번호(Q_no),문제유형(Q_form),질문(Q_string),보기()E_string,보기()E_string,보기()E_string,보기()E_string,정답(A_ans),정답 이형태(A_synonym),정답 근거(AP_sent),위키피디아 제목(AP_title),정답 출처(AP_origin),
93,객관식,원유를 분별증류할 때 가장 끓는점이 높은 물질은 무엇일까?,중유,나프타,경유,석유가스,중유,,"120∼150℃의 유분은 리그로인이며 탄소 수 7∼9의 것이 주성분으로 되어 있다. 이 세 가지는 가솔린 또는 휘발유라고 총칭하며, 가솔린엔진의 연료로 쓰이거나 여러 물질의 용매로 사용된다. 화학공업에서는 이를 나프타(naphtha)라고 부르며, 각종 제품의 원료로 쓴다. 
비등점 150∼300℃의 유분은 등유라고 하며, 탄소수 8∼18인 탄화수소가 주성분으로서, 석유발동기나 제트엔진의 연료로 쓰인다. 
300∼350℃의 것은 경유, 350℃ 이상인 것은 중유라고 하며, 디젤엔진 등의 내연기관이나 보일러·각종 노의 연료로 사용된다. 비등점 300℃ 이상인 부분 중에서 액체로 된 것을 유동 파라핀, 반고체인 것을 바셀린, 고체인 부분을 파라핀납(paraffin蠟)이라고 구분하기도 한다. 석유공업에서는 이처럼 천연 석유를 분류해서 사용하는 한편 고비등점의 잔류분을 열과 촉매로써 분해하여 이용도가 높은 가솔린으로 만드는 방법도 이용하며, 이러한 제품을 분해 가솔린이라고 한다.
그리고 400℃ 이상에서도 잔류하는 부분은 아스팔트라고 하는데, 점착력·방수성·전기절연성이 높아 도로포장이나 전기절연체 등에 많이 쓰인다.",석유,한국어 위키피디아,
94,객관식,대륙 이동설을 주장한 알프레드 로타어 베게너는 중생대 초기에 모든 대륙이 서로 뭉쳐져 이뤄진 한 개의 초대륙이 존재했음을 주장했다. 이 원시의 초대륙은 무엇일까?,판게아,판타랏사,무대륙,아틀란티스,판게아,,"판게아(라틴어: Pangaea, pæn?d?iː?, 어원은 그리스어: παγγα?α 팡가이아→모든 땅 )는 고생대 페름기와 중생대 트라이아스기에 존재했던 초대륙이다. 1915년 독일의 알프레트 베게너가 제안한 이름이다. 3억 년 전에 대륙이 뭉쳐 판게아 대륙이 만들어지면서, 애팔래치아 산맥, 아틀라스 산맥, 우랄 산맥 등이 생겨났다. ",판게아,한국어 위키피디아,
95,객관식,이것은 땅속에 있는 줄기 끝에 양분을 저장해 땅속 줄기가 크고 뚱뚱해진 식물이다. 이것은 무엇일까?,고구마,달리아,감자,순무,감자,"마령서, 지슬, 북감저, 하지감자","또한 어떤 식물체의 줄기는 양분과 물을 저장하기도 하는데 양분을 저장하는 줄기에는 덩이줄기(감자), 비늘줄기(양파), 알줄기(토란), 뿌리줄기(연,아이리스)가 있으며 선인장류의 줄기는 물을 저장한다.
감자(영어: Potato)는 가지과의 다년생식물로, 세계에서 네 번째로 많이 생산되는 곡물이다. 하지감자, 지슬, 북감저(北甘藷), 마령서(馬鈴薯)라고도 한다.","줄기,
감자",한국어 위키피디아,
96,객관식,자유로운 시장 경제에서 가격이 수요와 공급을 조정하는 기능을 할 때 '애덤 스미스'는 '보이지 않는 이것'이라고 비유했다. 이것은 무엇일까?,눈,손,귀,발,손,,"귀국후 저술활동에 전념하여 1776년 유명한 <국부론>을 발표하여, 국가가 여러 경제 활동에 간섭하지 않는 자유 경쟁 상태에서도 '보이지 않는 손'에 의해 사회의 질서가 유지되고 발전된다고 주장하였다.
보이지 않는 손(Invisible hand)란 애덤 스미스가 주장한 자유 방임주의 경제 체제에서 국가는 시장에 간섭하지 않고 치안과 국방을 담당하는 야경국가의 역할을 하며 국가가 시장의 흐름에 개입하지 않는 대신 시장은 보이지 않는 손 즉 가격에 의해 자동으로 효율성을 유지하게 된다는 것으로 이 보이지 않는 손에 의한 시장의 효율성 유지 이론은, 모든 사람이 합리적(이기적)이라는 전제를 깔고 있다.","애덤 스미스,
보이지 않는 손",한국어 위키피디아,
97,객관식,"이것은 이탈리아 나폴리의 전통 파스타 요리 중 하나다. 모시조개 국물 소스와 조갯살로 식감을 살렸으며, '조개'를 뜻하는 이탈리아어이기도 한 이것은 무엇일까?",카르보나라,포모도로,알리오 올리오,봉골레,봉골레,,"스파게티 알레 봉골레 (이탈리아어:Spaghetti alle vongole)는 이탈리아와 여러 국가에서 널리 알려진 스파게티 요리의 일종이며 특별히 캄파니아 주(나폴리)와 로마 등 중부 이탈리아에서 전통적으로 전해오고 있다. 
보통은 모조개를 쓰는데 이태리어로 vongola verace이다. 이 재료는 리구리아 주와 토스카나 주에서는 arselle로 불린다. 미국에서는 대합을 대용으로 사용하기도 한다. 기호에 따라서 모시조개, 백합, 바지락 등으로 조리할 수 있다.",스파게티 알레 봉골레,한국어 위키피디아,
98,객관식,찰리 채플린이 공장에서 나사 조이는 일을 반복하는 공장 노동자로 등장해 현대 산업 사회의 인간 소외를 코믹하게 그려낸 이 영화의 제목은 무엇일까?,시티 라이트,모던 타임즈,황금광시대,위대한 독재자,모던 타임스,모던 타임즈,주인공인 떠돌이는 어느 공장에서 일하는데 공장의 사장은 계속 빠르게 생산하라고 지시를 한다. 이런 가운데 떠돌이는 나사처럼 생긴 것은 뭐든지 조이려는 정신병에 걸려서 정신 병원으로 이송된다. 병원에서 나온 떠돌이는 병이 회복되었지만 공장에서 해고되어 거리를 떠돈다.,모던 타임스 (영화),한국어 위키피디아,
99,객관식,19세기 영국의 '토머스 칼라일'은 '인도를 다 주어도 결코 이 사람과 바꾸지 않겠다'고 말했다. 영국인의 자존심이라고 일컬어지는 세계적인 작가인 이 사람은 누구일까?,셰익스피어,코넌 돌일,찰스 디킨스,존 로널드 돌킨,셰익스피어,,"비평가 칼라일이 ""영국 식민지 인도와도 바꿀 수 없다""고 말할 정도로 위대한 인류의 유산이었다",윌리엄 셰익스피어,한국어 위키피디아,
100,객관식,나무에서 열리는 열매가 잘못 연결된 것은 무엇일까?,매화나무-매실,오동나무-오디,떡갈나무-도토리,벛나무-버찌,오동나무-오디,,"이 열매를 오디라 하는데 맛이 달고 부드러우며, 잼으로도 만들어 먹는다.",뽕나무,한국어 위키피디아,
101,객관식,우리나라는 일찍부터 교육 기관이 만들어져 유교 교육이 이루어졌다. 고구려의 수도에 세워졌으며 유교 경전과 역사서의 내용을 가르친 이 학교는 무엇일까?,국학,태학,경당,향교,경당,,"경당(?堂)은 고구려의 사학 교육기관(私學敎育機關)이다. 태학이 상류층의 자제를 모아 유학을 중심으로 교육하는 관학(官學)인데 대해, 후기에 설치된 경당은 일반 평민층이 그들의 자제를 교육하기 위하여 설립했다. 여기에서는 경전(經典)과 궁술(弓術)을 가르쳤다.",경당 (고구려),한국어 위키피디아,
102,객관식,이것은 '북곽 선생'을 짐승이 혼내준다는 내용으로 양반의 위선을 비판한 작품이다. 박지원이 지은 <열하일기>에 실려 있는 이 작품은 무엇일까?,양반전,허생전,호질,광문자전,호질,,"북곽 선생은 박지원의 소설 《호질》에 등장하는 인물이며, 전국 시대 제나라 사람으로 알려져 있다.",북곽,한국어 위키피디아,
103,객관식,국제연합에서 규정한 배타적 경제수역은 자국의 연안으로부터 최대 몇 해리까지일까?,50해리,100해리,150해리,200해리,200해리,,"배타적 경제 수역(排他的經濟水域, 영어: Exclusive Economic Zone, EEZ)은 해양법에 관한 국제 연합 협약(UNCLOS)에 근거해서 설정되는 경제적인 주권이 미치는 수역을 가리킨다. 연안국은 유엔 해양법 조약에 근거한 국내법을 제정하는 것으로 자국의 연안으로부터 200해리(약 370km)의 범위 내의 수산자원 및 광물자원 등의 비생물자원의 탐사와 개발에 관한 권리를 얻을 수 있는 대신 자원의 관리나 해양 오염 방지의 의무를 진다.",배타적 경제 수역,한국어 위키피디아,
104,객관식,주문자가 요구하는 제품과 상표명으로 완제품을 생산하는 것은 무엇일까?,PB 상품,미투상품,ODM,OEM,OEM,"주문자 상표 부착 생산, 오이엠","OEM(Original Equipment Manufacturer)은, 주문자의 의뢰에 따라 주문자의 상표를 부착하여 판매할 상품을 제작하는 업체를 의미한다. 대한민국에서는 Original Equipment Manufacturing 이라고 쓰고 '주문자 상표 부착 생산'이라고 번역하는 경우가 많다.",OEM,한국어 위키피디아,
105,객관식,이것은 천연기념물 제329호로 멸종 위기 야생 생물 1급에 해당하는 동물이다. 지난 2004년에는 이 동물의 복원사업을 추진했는데 이 동물은 무엇일까?,반달가슴곰,뿔쇠오리,토끼박쥐,맹꽁이,반달가슴곰,반달곰,대한민국에서는 반달가슴곰에 절멸위기 등급이 붙어 있어 천연기념물 제329호로 보호받고 있다.,아시아흑곰,한국어 위키피디아,
106,객관식,이 사람은 임진왜란 때 선전관으로 왕을 모셨고 정묘호란 때는 의병을 일으켜 백성 수천 명을 구출했다. 철산의 용골산성에서 후금을 격퇴하는 전과를 세운 이 사람은 누구일까?,임경업,양만춘,정봉수,강홍립,정봉수,,"정봉수(鄭鳳壽, 1572년 ~ 1645년)는 조선 중기의 무신으로 자는 상수, 시호는 양무, 본관은 하동이다. 
1592년 무과에 급제해 임진왜란 때 선전관으로 왕 선조를 호종하여 부장이 되었다. 사복시주부, 감찰, 영산 현감을 역임했고 1605년 무안현대장으로 흑산도 앞바다에 칩입한 왜구 6명을 죽였다.
1627년 정묘호란이 일어나자 흩어진 군사들을 수습해 철산의 의병장으로 용골산성에서 후금의 군사 절반을 무찌르고 포로가 되었던 수천 명의 조선인을 구출하여 철산 부사로 특진되었다.",정봉수,한국어 위키피디아,
107,객관식,봄의 대표적인 길잡이별인 '봄의 대삼각형'에 속하는 별이 아닌 것은 무엇일까?,아르크투루스,베텔게우스,스피카,데네볼라,베텔게우스,,"아르크투루스, 스피카, 데네보라를 연결하여 만드는 거대한 삼각형을 봄의 대삼각형이라 부른다.",봄철의 별자리,한국어 위키피디아,
108,객관식,이곳은 국제 습지 조약 보존습지로 경상남도 창녕군에 있는 대표적인 자연 습지다. 이곳은 어디일까?,용늪,우포늪,무제치늪,단조늪,우포늪,,우포늪(牛浦-)은 경상남도 창녕군 일대에 위치한 대한민국 최대의 내륙 습지이다.,우포늪,한국어 위키피디아,
109,객관식,이것은 고대 이집트의 '람세스 2세'가 건축한 것으로 네 개의 파라오 상을 조각한 암굴신전이다. 이것은 무엇일까?,아부심벨 신전,룩소르 신전,이시스 신전,호루스 신전,아부 심벨 신전,"아부심벨신전, 아부심벨 신전",람세스 2세의 재위 시절 때 아부 심벨을 건설했다.,아부 심벨 신전,한국어 위키피디아,
110,객관식,이것은 고려 문신 이자겸이 자신의 뜻을 굽히지 않겠다는 의미로 이름 지어 왕에게 바친 것으로 유명하다. 이 생선은 무엇일까?,과메기,명태,굴비,전어,굴비,,전라남도 영광군에 유배되어 말린 생선을 먹고 그 '뜻을 굽히지 않겠다'는 이름을 붙인 것이 영광굴비의 어원이 되었다.,이자겸,한국어 위키피디아,
111,객관식,러시아 소설가로 카라마 조프가의 형제들을 쓴 작가는 누구일까?,톨스토이,안톤 체호프,도스토예프스키,솔제니친,도스토옙스키,도스토예프스키,《카라마조프의 형제》는 도스토옙스키의 장편소설이다.,카라마조프의 형제,한국어 위키피디아,
112,객관식,12간지 동물이 들어간 사자성어가 아닌 것은 무엇일까?,교각살우,수주대토,묘두현령,화룡점정,묘두현령,,"교각살우 矯角殺牛, 수주대토 守株待?, 묘두현령 猫頭懸鈴. 화룡점정 ?龍點睛",묘두현령,한국어 위키피디아,삭제
113,객관식,노벨상을 두 번 수상한 사람은 누구일까?,마리 퀴리,토마스 에디슨,제임스 왓슨,알버트 아인슈타인,마리 퀴리,,"그녀는 여성으로서 최초의 노벨상 수상자이며, 물리학상과 화학상을 동시에 받은 유일한 인물이다. 
노벨상을 2회 수상한 기록은 라이너스 폴링과 함께 인물로서는 최다 기록이다.",마리 퀴리,한국어 위키피디아,
114,객관식,세계에서 가장 큰 섬은 캐나다에 있는 그린란드 섬이다. 세계에서 두 번째로 큰 섬은 어디일까?,뉴기니,보르네오,마다가스카르,세인트마틴,뉴기니,,"뉴기니 섬(영어: New Guinea, 문화어: 뉴기니아 섬)은 오스트레일리아 북쪽에 있는 섬으로 세계에서 두 번째로 큰 섬이다.",뉴기니 섬,한국어 위키피디아,
115,객관식,미국은 제너럴 셔먼호가 소각된 사건을 구실로 배상금과 통상 조약 체결을 요구하며 5척의 군함을 이끌고 강화도를 침입해 신미양요를 일으킨다. 강화도에 침입한 미군에 맞서 광성보를 지키기 위해 조선군을 이끈 장군은 누구인가?,양헌수,정문부,어재연,한성근,어재연,,"3일간의 교전 결과 조선은 광성보가 함락되고 순무중군 어재연을 비롯한 수비 병력 대다수가 사망하였다.
6월 1일(음력 4월 14일) 미국 함대가 강화도에서 멀지 않은 곳에 정박하였다는 소식이 전해지자 조선 조정은 강화도에 군사와 군량을 보내기로 결정하고, 행호군(行護軍) 어재연을 진무중군(鎭撫中軍)에 임명하여 방어토록 하였다.
1871년 신미양요가 일어나자 조정에서는 어재연을 순무중군에 임명하여 광성진을 수비케 하였다. ","신미양요,
어재연",한국어 위키피디아,
116,객관식,이것은 주로 선비들이 즐겨 그렸으며 시 서 화의 3절과 운치를 중시한 그림이다. 보통 수묵화나 사군자를 소재로 그린 이 그림은 무엇일까?,문인화,산수화,풍속화,어진화,문인화,,"미술에서는 화려한 불화보다 중국의 유학자들이 선호한 문인화의 영향이 강해졌고, 그 결과 조선에서도 화려한 채색화보다는 수묵화가 많이 그려졌다. 양반 사대부 사이에서는 사군자나 산수화가 유행하였다.",한국 미술사,한국어 위키피디아,
117,객관식,이 사람은 만물은 수다라고 주장하며 소리의 높낮이를 수의 이치로 해석해 현대 음계의 기초가 되는 음률을 만들었다.,디오판토스,소크라테스,아르키메데스,피타고라스,피타고라스,,"피타고라스 음률은 음정의 주파수가 3:2 비율에 기반해 있는 음률이다. 피타고라스가 발견했다고 여겨지며, 가장 오래된 반음계의 조율법이다.",피타고라스 음률,한국어 위키피디아,
118,객관식,이것은 고려 후기에 권문세족이 불법으로 백성들의 토지를 빼앗거나 노비로 만들자 이를 바로잡기 위해 설치한 기구다. 이 기구는 무엇일까?,구제도감,전민변정도감,교정도감,식목도감,전민변정도감,,"전민변정도감(田民辨整都監)은 고려 후기의 개혁 기관으로서, 권문세족이 토지와 노비를 늘려 국가 기반이 크게 악화되자 이를 시정하기 위하여 설치한 임시 특별기구이다.",전민변정도감,한국어 위키피디아,
119,객관식,투수가 던지는 공 중에서 직구와 비슷한 자세로 던지지만 속도가 느려 타자의 타이밍을 빼앗는 데 사용하는 구질은 무엇일까?,포크볼,커브,체인지업,너클볼,체인지업,,"속구를 던지는 것처럼 보이지만 실제로는 이보다 시속 12~20km 정도 공이 느리게 날아가도록 하는 것이다. 즉, 투구 동작과 투구 시 팔의 속도는 속구와 같지만 타자에게 날아오는 공은 훨씬 느리다. 그래서 좋은 속구를 가진 투수들이 체인지업을 잘 던지면 큰 효과를 얻을 수 있다. 타자는 타이밍을 맞추고, 투수는 그 타이밍을 뺏는 현대 야구에서 체인지업은 그것을 충족시켜 주는 구종이다.",체인지업,한국어 위키피디아,
120,객관식,우리나라와 처음으로 자유무역협정을 맺은 국가는 어디일까?,브라질,멕시코,칠레,호주,칠레,,"한·칠레 FTA
대한민국이 최초로 맺은 자유무역협정이다.",대한민국의 자유 무역 협정,한국어 위키피디아,
121,객관식,"18세기에 성리학이 사회를 개혁하는 역할을 하지 못하자 '정제두'는 명분보다 실천을 강조하는 이 사상을 연구해 강화 학파를 형성했다. 역사학, 서화, 문화 등에 새로운 경지를 개척했고 실학자들에게도 많은 영향을 끼친 이 사상은 무엇일까?",고증학,훈고학,공양학,양명학,양명학,"육왕학, 왕학","정제두(鄭齊斗, 1649년∼1736년)는 조선 후기의 문신·학자이다. 본관은 영일, 자는 사앙(士仰), 호는 하곡(霞谷), 추곡(楸谷)이다. 성리학자였으나 양명학에 관심을 갖고 양명학자가 되었으며 강화학파의 시초가 되었다.
양명학이라는 명칭은 메이지 유신 이후에 퍼진 것으로, 그 이전에는 육왕학(陸王學) 또는 왕학(王學)이라 불렸다. ","정제두,
양명학",한국어 위키피디아,
122,객관식,"이것은 자아 성장의 고통과 기존의 고정관념을 파괴하는 것의 중요성을 담은 작품이다. ""새는 알에서 나오려고 투쟁한다. 알은 세계이다. 태어나려는 자는 하나의 세계를 깨뜨려야 한다""는 구절이 나오는 소설은 무엇일까?",데미안,어린왕자,갈매기의 꿈,톰 소여의 모험,데미안,,"데미안으로부터 온 답장에는 다음과 같은 글이 써 있었다. ""새는 알을 뚫고 나오기 위해 싸운다. 알은 세계다. 태어나려는 자는 하나의 세계를 깨뜨려야 한다. 알을 뚫고 나온 새는 신에게로 날아간다. 신의 이름은 아브락사스다.""",데미안,한국어 위키피디아,
123,객관식,조선 정조 시기에는 문화 발전과 학문 장려에 힘썼으며 자유로운 상업 활동을 보장했다. 또한 기존의 법령집을 통합한 법전을 편찬해 왕조의 통치 규범을 재정비했는데 이 법전은 무엇일까?,속대전,경국대전,대전회통,대전통편,대전통편,,정조는 《대전통편》을 간행하여 자신의 개혁 조치가 법제화되도록 하였다.,조선 정조,한국어 위키피디아,
124,객관식,이것은 태양 광선에 직접 노출되면 벽돌과 같이 단단해져 주로 건축 재료로 이용하는 것이다. 열대 기후 지역에서 볼 수 있으며 붉은색을 띠는 이것은 무엇일까?,글레이토,포드졸,라테라이트,레구르,라테라이트,홍토,"라테라이트(laterite)는 염기와 규산이 용탈되고 남은 성분이 산화되어 형성된, 산화철과 알루미늄 등을 많이 포함한 토양층이다. 주로 열대 기후 지형 혹은 아열대 기후, 적도지방에서 토양층이 형성되며, 색깔이 붉어 홍토(紅土)라고도 불린다. ",라테라이트,한국어 위키피디아,
125,객관식,행정구역상 북한과 인접한 인천광역시 옹진군에 속해 있는 섬들을 서해 5도라 부른다. 서해 5도가 아닌 섬은 무엇일까?,백령도,강화도,연평도,우도,강화도,,"서해 5도(西海五島)는 대한민국의 관할 아래 있는 섬들 가운데 조선민주주의인민공화국 황해남도의 남쪽 해안과 가까운 백령도, 대청도, 소청도, 연평도, 우도를 묶어 일컫는 말이다.",서해 5도,한국어 위키피디아,
126,객관식,이름이 본명인 작가는 누구일까?,김소월,정지용,이상,김동리,정지용,,"김소월(金素月, 1902년 9월 7일(음력 8월 6일) ~ 1934년 12월 24일)은 일제 강점기의 시인이다. 본명은 김정식(金廷湜)이지만, 호인 소월(素月)로 더 널리 알려져 있다. 
정지용(鄭芝溶, 일본식 이름: 大弓修 오유미 오사무, 음력 1902년 5월 15일/양력 1902년 6월 20일 ~ 1950년)은 한국의 대표적 서정시인이다.
이상(李箱, 1910년 9월 23일 ~ 1937년 4월 17일)은 일제 강점기의 시인, 작가, 소설가, 수필가, 건축가로 일제 강점기 한국의 대표적인 근대 작가이다. 원래의 성은 김(金)씨로, 본명은 김해경(金海卿)이다. 
김동리(金東里, 1913년 12월 21일 ~ 1995년 6월 17일)는 대한민국의 소설가이자 시인이다.
본명은 김시종(金始鍾)이고 본관은 선산(善山)이다. 
","김소월,
정지용,
이상,
김동리",한국어 위키피디아,
127,객관식,'백신'은 라틴어로 이 동물을 뜻하는 말에서 유래했다. 이 동물은 무엇일까?,소,개,돼지,말,소,,"우두법을 발견한 에드워드 제너가 라틴어로 소를 뜻하는 vacca를 차용하여 쓰기 시작했으며, 루이 파스퇴르가 vaccine이라 명명하여 영어와 프랑스어에서는 이 명칭으로 쓰고 있다.",백신,한국어 위키피디아,
128,객관식,개기월식은 달이 지구의 본그림자에 의해 가려지면 어두워지는 현상이다. 이때 달은 지구 대기를 통과한 빛에 의해 이 색으로 보이기도 하는데 무슨 색일까?,노란색,흰색,붉은색,푸른색,붉은색,,"개기월식이 일어날 때 달이 붉게 보이는 것은 지구 대기에 의한 산란 때문인데, 태양에서 나온 빛 중 파장이 짧은 푸른 빛이 산란되고 결과적으로 파장이 긴 붉은 빛이 달에 도달한다.",월식,한국어 위키피디아,
129,객관식,이것은 신라 문무왕 때 조성한 연못으로 국가에 경사가 있거나 손님을 맞을 때 연회를 베풀던 장소였다. 신라의 뛰어난 조경술을 보여주는 이곳은 어디일까?,부용지,궁남지,향원지,안압지,안압지,,"안압지는 신라가 삼국 통일을 이룬 직후인 문무왕(文武王) 14년(674년)에 황룡사 서남쪽 372m 지점에 조성되었다.
별궁인 임해전과 여러 부속건물은 나라의 경사가 있을 때나 귀한 손님을 맞을 때 이 곳을 바라보면서 연회를 베풀기도 하였던 곳이다.",경주 동궁과 월지,한국어 위키피디아,
130,객관식,"이것은 성장 가능성이 있지만, 아직은 경쟁력이 충분히 발달하지 못한 미성숙 산업을 뜻한다. 이것은 무엇일까?",유치산업,기간산업,후방산업,사양산업,유치산업,,"유치산업(幼稚産業, 영어: Infant industry)는 국가 등의 특정 경제 단위에서 성장 가능성이 있지만 아직은 미성숙한 산업을 말한다",유치산업,한국어 위키피디아,
131,객관식,우리나라의 의병 활동은 일제에 의해 강제 해산된 군인들이 1907년부터 의병부대에 합류하면서 점차 대일 전쟁의 성격을 띠게 되었다. 이 사람은 의병 부대의 연합인 13도 창의군의 총대장으로 각국 영사관에 의병 승인 요청을 요구한 사람인데 누구일까?,이소응,유인석,이인영,신돌석,이인영,,"13도 창의군(倡義軍)은 대한제국의 항일의병 조직이다.
13도 창의군은 1905년 을사늑약 체결 이후 다시 전국적으로 의병 항쟁이 일어났을 때, 각지의 의병부대들을 단일대오로 통수하기 위해 1907년 원주에서 거병한 이은찬(李殷瓚), 이구채(李求采, 혹은 이구재(李九載)) 등이 주도하여 문경의 이인영을 수 일간 설득, 통수로 추대하고, 각 도에서 의병들을 모집하여 한양으로 진격, 일본군을 토벌하고 독립을 달성하기 위해 구성한 자발적인 의병연합부대이다.
창의군 총대장 이인영
결국 창의군을 조직하고 한성탈환작전을 기획했던 중군대장 이은찬은 한성에서 밀정에게 속아 순국하였고, 총대장 이인영은 작전 중 부친상을 이유로 문경으로 돌아갔으나 일본 헌병에 체포되어 순국하였다.",13도 창의군,한국어 위키피디아,
132,객관식,"'크림전쟁, 아편전쟁, 백년전쟁, 보어전쟁'에 모두 참여한 국가는 어디일까?",영국,프랑스,독일,이탈리아,영국,,"1839년, 중국 당국이 광저우에서 영국 상인들로부터 아편 상자 20,000개를 압류 조치한 것이 계기가 되어 영국이 중국을 공격해 승전하였으며(제1차 아편 전쟁), 난징조약을 통해 홍콩 섬을 전리품으로 할양받았다.
영국과 프랑스는 러시아 해군의 가능성을 파괴하고자 크림 반도로 쳐들어갔다.
제2차 보어 전쟁 후에 영국은 트란스발 공화국과 오라녜 공화국과 조약을 맺음으로써 1902년에 두 보어인 공화국들에 대한 군사 점령을 끝마쳤다. ",대영 제국,한국어 위키피디아,
133,객관식,여름철에 밤이 되어도 기온이 많이 내려가지 않아 사람들이 잠을 이루지 못하는 더운 밤을 열대야라고 한다. 열대야는 밤 최저기온이 섭씨 몇 도 이상일 때일까?,18도,20도,25도,28도,25도,,열대야(熱帶夜)는 본래 일본 기상청 용어로 야간의 최저 기온이 25℃ 이상인 밤을 뜻한다.,열대야,한국어 위키피디아,
134,객관식,이것은 러시아어로 '동쪽'을 뜻하며 남극 연구기지 중 하나다. 인류 최초의 유인 우주선의 이름이기도 한 이것은 무엇일까?,보스토크,미르니,플래토,루스카야,보스토크,,보스토크는 소련이 제작한 유인 우주선이다. 유리 가가린이 보스토크 1호를 타고 세계 최초의 유인 우주비행을 하였다.,보스토크 (우주선),한국어 위키피디아,
135,객관식,북극해 연안에서 주로 순록을 유목하며 살아가는 민족이 아닌 것은 무엇일까?,사모예드족,이누이트족,라프족,카렌족,카인족,카렌족,카인족 또는 카렌족(Karen)은 카인 주를 중심으로 미얀마의 남부와 남동부에 주로 사는 민족 집단이다.,카인족,한국어 위키피디아,
136,객관식,17세기부터 19세기에 이르는 축성술의 시대별 발달 단계가 잘 나타나 있으며 2014년 유네스코 세계유산으로 등재된 이 성은 무엇일까?,수원화성,남한산성,북한산성,행주산성,남한산성,,2014년에는 세계문화유산에 등재되면서 현재에 이르고 있다.,남한산성,한국어 위키피디아,
137,객관식,이 물질은 모기나 농작물의 해충 등을 억제하기 위해 사용하는 물질이다. '레이첼 카슨'이 쓴 <침묵의 봄>이라는 책에서 이 물질의 위험성을 경고해 환경운동의 기폭제가 됐는데 이 물질은 무엇일까?,불소,벤젠,메틸수은,DDT,DDT,"디디티, Dichloro-Diphenyl-Trichloroethane","20세기에 가장 큰 영향력을 미친 책으로 일컬어지는 《침묵의 봄》은 무분별한 살충제 사용으로 파괴되는 야생 생물계의 모습을 적나라하게 공개하였다. 
그리고 1969년 미국 의회는 국가환경정책법안을 통과시켰으며, 암연구소는 DDT가 암을 유발할 수도 있다는 증거를 발표하였고, 각 주들은 DDT의 사용을 금지하기 시작하였다.
DDT(Dichloro-Diphenyl-Trichloroethane)는 잘 알려진 살충제중 하나이다. ","레이첼 카슨,
DDT",한국어 위키피디아,
